Марка;Price USD;Gryvnya;City;Link;Low Title
Citroen C4 Cactus 2020;23 431 $;575 400 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1826313.html;Shine 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen C5 Aircross 2020;34 415 $;866 200 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1826281.html;Shine 2.0 BHDi AT (180 л.с.)
Citroen C5 Aircross 2020;27 139 $;725 090 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1826326.html;Individual 1.6 PureTech AT (165 л.с.)
Citroen C5 Aircross 2020;35 414 $;946 170 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1821871.html;Individual 2.0 BHDi AT (180 л.с.)
Citroen C5 Aircross 2019;29 753 $;794 940 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1814007.html;Individual 2.0 BHDi AT (180 л.с.)
Citroen C5 Aircross 2020;28 541 $;762 900 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1834168.html;Feel 1.5 BlueHDi AT (130 л.с.) S&S
Citroen C3 2019;20 165 $;539 000 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-c3-1818391.html;Individual Aircross 1.2 PureTech AT (110 л.с.) Start/Stop
Citroen Jumpy груз. 2018;25 309 $;676 500 грн;Киев;https://auto.ria.com/newauto/auto-citroen-jumpy-gruz-1835652.html;1.6HDi MT (90 л.с.) L1H1
Citroen C5 Aircross 2019;28 582 $;764 000 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1832890.html;Feel 2.0 BHDi AT (180 л.с.)
Citroen Berlingo пасс. 2020;20 136 $;537 970 грн;Херсон;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1836920.html;Feel 1.6 HDi MT (92 л.с.) L2
Citroen C-Elysee 2020;12 752 $;340 900 грн;Житомир;https://auto.ria.com/newauto/auto-citroen-c-elysee-1839564.html;Feel New 1.6 VTI MT (115 л.с.)
Citroen Berlingo груз. 2019;18 253 $;487 900 грн;Запорожье;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1835320.html;base Worker 1.6 HDi MT (92 л.с.) L2
Citroen C-Elysee 2019;14 641 $;391 180 грн;Запорожье;https://auto.ria.com/newauto/auto-citroen-c-elysee-1835325.html;Feel New 1.6HDi MT (92 л.с.)
Citroen C-Elysee 2020;13 261 $;354 460 грн;Херсон;https://auto.ria.com/newauto/auto-citroen-c-elysee-1836917.html;Feel New 1.6 MТ (115 л.с.)
Citroen Berlingo груз. 2020;19 609 $;524 140 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1834737.html;base Worker 1.6 HDi MT (92 л.с.) L2
Citroen Berlingo пасс. 2019;21 955 $;587 920 грн;Киев;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1837606.html;Individual 1.6 HDi MT (92 л.с.) L2
Citroen C3 2020;17 386 $;464 500 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c3-1835133.html;Shine 1.2 PureTech AT (110 л.с.) Start/Stop
Citroen C4 Cactus 2020;22 652 $;605 480 грн;Запорожье;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1836032.html;Shine 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen C5 Aircross 2019;31 743 $;848 480 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1831667.html;Shine 2.0 BHDi AT (180 л.с.)
Citroen C-Elysee 2020;12 994 $;347 370 грн;Житомир;https://auto.ria.com/newauto/auto-citroen-c-elysee-1839563.html;Feel New 1.6 VTI MT (115 л.с.)
Citroen C3 Aircross 2020;22 671 $;606 000 грн;Житомир;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1836628.html;Individual 1.5 BlueHDi AT (120 л.с.) S&S
Citroen Berlingo пасс. 2020;19 620 $;524 200 грн;Винница;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1813572.html;Individual 1.6 HDi MT (92 л.с.) L2
Citroen C4 Cactus 2020;21 210 $;567 000 грн;Житомир;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1839566.html;Shine 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen C-Elysee 2020;12 606 $;336 800 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c-elysee-1810233.html;Feel New 1.6 MТ (115 л.с.)
Citroen C3 Aircross 2020;21 210 $;567 000 грн;Житомир;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1839565.html;Shine 1.2 PureTech VTi AT (110 л.с.)
Citroen C-Elysee 2020;13 252 $;354 460 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-c-elysee-1817619.html;Feel New 1.6 VTI MT (115 л.с.)
Citroen C5 Aircross 2019;32 821 $;877 300 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1837225.html;Shine 2.0 BHDi AT (180 л.с.)
Citroen C4 Cactus 2019;21 188 $;566 720 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1817869.html;Shine 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen C3 2020;23 285 $;622 390 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c3-1835383.html;Shine Aircross 1.5 BlueHDi AT (120 л.с.) S&S
Citroen C3 2019;16 839 $;450 000 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c3-1838239.html;Origins 1.2 PureTech AT (110 л.с.) Start/Stop
Citroen C5 Aircross 2019;29 562 $;790 180 грн;Одесса;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1837011.html;Feel 2.0 BHDi AT (180 л.с.)
Citroen C-Elysee 2020;13 267 $;354 460 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-c-elysee-1838206.html;Individual New 1.6 VTI MT (115 л.с.)
Citroen C-Elysee 2020;12 792 $;341 760 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-c-elysee-1832066.html;Individual New 1.2 МТ (82 л.с.)
Citroen Berlingo пасс. 2020;18 905 $;505 100 грн;Винница;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1810460.html;Feel 1.6 HDi MT (92 л.с.) L1
Citroen C4 Cactus 2020;21 958 $;564 400 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-c4-cactus-1837951.html;Individual 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen C5 Aircross 2020;31 915 $;812 880 грн;Одесса;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1832068.html;Feel 1.5 BlueHDi AT (130 л.с.) S&S
Citroen C4 Cactus 2019;23 180 $;570 000 грн;Одесса;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1815004.html;Origins 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen C-Elysee 2020;12 834 $;343 420 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c-elysee-1791546.html;Feel New 1.6 MТ (115 л.с.)
Citroen Berlingo пасс. 2020;23 932 $;639 400 грн;Винница;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1810230.html;Individual 1.5 BlueHDi AT (130 л.с.) L1
Citroen Berlingo пасс. 2020;28 414 $;759 510 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1836852.html;Shine 1.5 BlueHDi AT (130 л.с.) L2
Citroen Berlingo пасс. 2020;22 534 $;603 420 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1838872.html;Shine 1.6 HDi MT (92 л.с.) L2
Citroen C-Elysee 2019;14 368 $;383 880 грн;Одесса;https://auto.ria.com/newauto/auto-citroen-c-elysee-1831716.html;Feel New 1.6HDi MT (92 л.с.)
Citroen C3 2020;22 262 $;580 130 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-c3-1833833.html;Individual Aircross 1.2 PureTech AT (110 л.с.) Start/Stop
Citroen C5 Aircross 2020;32 768 $;876 000 грн;Житомир;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1816417.html;Individual 2.0 BHDi AT (180 л.с.)
Citroen C3 Aircross 2020;22 558 $;602 980 грн;Херсон;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1836914.html;Shine 1.5 BlueHDi AT (120 л.с.) S&S
Citroen Berlingo груз. 2020;17 426 $;465 570 грн;Винница;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1832881.html;base Control 650 1.6 HDi MT (92 л.с.) L1
Citroen Jumper пасс. 2019;45 432 $;1 215 720 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-jumper-pass-1804135.html;Individual 440 2.2 HDi (130 л.с.) MT L4H2
Citroen Jumper груз. 2018;27 276 $;729 900 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1776017.html;Individual 4-35-L3 (130 л.с.)
Citroen C5 Aircross 2019;30 325 $;810 578 грн;Херсон;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1836912.html;Shine 2.0 BHDi AT (180 л.с.)
Citroen C3 Aircross 2020;22 569 $;602 980 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1838654.html;Individual 1.5 BlueHDi AT (120 л.с.) S&S
Citroen C3 2020;19 278 $;500 000 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c3-1811440.html;Feel Aircross 1.6 Hdi MT (92 л.с.)
Citroen C4 Cactus 2020;20 541 $;550 050 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1838517.html;Shine 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen C-Elysee 2020;12 840 $;324 100 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c-elysee-1719575.html;Feel New 1.2 МТ (82 л.с.)
Citroen C-Elysee 2020;13 004 $;347 830 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-c-elysee-1817620.html;Feel New 1.6 MТ (115 л.с.)
Citroen Berlingo пасс. 2020;25 581 $;685 030 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1838419.html;Shine 1.6 HDi MT (92 л.с.) L2
Citroen C-Elysee 2019;17 103 $;457 990 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c-elysee-1837546.html;Individual New 1.6HDi MT (92 л.с.)
Citroen C-Elysee 2019;17 214 $;419 000 грн;Одесса;https://auto.ria.com/newauto/auto-citroen-c-elysee-1797832.html;Individual New 1.6HDi MT (92 л.с.)
Citroen Berlingo пасс. 2019;21 838 $;583 490 грн;Запорожье;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1835322.html;Shine 1.6 HDi MT (92 л.с.) L1
Citroen C3 2020;22 516 $;601 840 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-c3-1833830.html;Individual Aircross 1.5 BlueHDi AT (120 л.с.) S&S
Citroen C5 Aircross 2020;33 430 $;893 690 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-c5-aircross-1827680.html;Shine 2.0 BHDi AT (180 л.с.)
Citroen C-Elysee 2020;13 013 $;347 830 грн;Херсон;https://auto.ria.com/newauto/auto-citroen-c-elysee-1836916.html;Feel New 1.6 MТ (115 л.с.)
Citroen C-Elysee 2020;13 004 $;347 830 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c-elysee-1815275.html;Feel New 1.6 MТ (115 л.с.)
Citroen Jumper пасс. 2019;42 552 $;1 139 470 грн;Киев;https://auto.ria.com/newauto/auto-citroen-jumper-pass-1837563.html;440 2.2 HDi (130 л.с.) MT L3H2
Citroen C3 2020;19 072 $;495 200 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c3-1820508.html;Individual 1.2 PureTech AT (110 л.с.) Start/Stop
Citroen Berlingo груз. 2020;19 700 $;526 900 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1822116.html;Base Club 1.5 BlueHDi AT (100 л.с.) L2
